SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,323 Florence Ave,Evanston,IL,60202,399000,3,2.5,Evanston,1751,8537,1954,1,228,,Active,,,http://www.redfin.com/IL/Evanston/323-Florence-Ave-60202/home/13603659,MRED,11268068,N,Y,42.0238874,-87.6944546
MLS Listing,,Condo/Co-op,2615 Central St #3,Evanston,IL,60201,99900,2,1.0,Evanston,810,,1948,1,123,550,Active,,,http://www.redfin.com/IL/Evanston/2615-Central-St-60201/unit-3/home/21818023,MRED,11268013,N,Y,42.0647617,-87.7099492
MLS Listing,,Single Family Residential,2662 Crawford Ave,Evanston,IL,60201,539000,3,2.0,Evanston,,6324,1955,1,,,Active,November-13-2021 12:00 PM,November-13-2021 03:00 PM,http://www.redfin.com/IL/Evanston/2662-Crawford-Ave-60201/home/13776898,MRED,11262520,N,Y,42.0662079,-87.7293245
MLS Listing,,Single Family Residential,3608 Old Glenview Rd,Evanston,IL,60201,299000,2,1.0,Evanston,1000,,1956,1,299,,Active,,,http://www.redfin.com/IL/Evanston/3608-Old-Glenview-Rd-60201/home/13776543,MRED,11263236,N,Y,42.0693048,-87.7296323
MLS Listing,,Condo/Co-op,614 Hinman Ave #3,Evanston,IL,60202,320000,2,1.0,Evanston,1350,,1920,1,237,475,Active,November-14-2021 01:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Evanston/614-Hinman-Ave-60202/unit-3/home/177155189,MRED,11267091,N,Y,42.0289338,-87.6771652
MLS Listing,,Single Family Residential,3029 Simpson St,Evanston,IL,60201,699900,4,3.0,Evanston,2650,13089,1942,1,264,,Active,,,http://www.redfin.com/IL/Evanston/3029-Simpson-St-60201/home/13632035,MRED,11267030,N,Y,42.0556524,-87.719205
MLS Listing,,Condo/Co-op,2501 Central St Unit 3E,Evanston,IL,60201,295000,3,2.0,Evanston,1580,,1976,2,187,562,Active,November-14-2021 12:00 PM,November-14-2021 02:00 PM,http://www.redfin.com/IL/Evanston/2501-Central-St-60201/unit-3E/home/13771951,MRED,11266966,N,Y,42.064728,-87.7082557
MLS Listing,,Condo/Co-op,1228 Emerson St #301,Evanston,IL,60201,245900,1,1.0,Evanston,964,,2008,2,255,291,Active,,,http://www.redfin.com/IL/Evanston/1228-Emerson-St-60201/unit-301/home/39548719,MRED,11266885,N,Y,42.0518195,-87.6886964
MLS Listing,,Single Family Residential,1629 Florence Ave,Evanston,IL,60201,480000,5,2.0,Evanston,,5662,1894,2,,,Active,November-14-2021 12:00 PM,November-14-2021 03:00 PM,http://www.redfin.com/IL/Evanston/1629-Florence-Ave-60201/home/13628591,MRED,11266428,N,Y,42.0482092,-87.6947626
MLS Listing,,Single Family Residential,2122 Dobson St,Evanston,IL,60202,375000,5,2.5,Evanston,1676,4373,1951,2,224,,Active,,,http://www.redfin.com/IL/Evanston/2122-Dobson-St-60202/home/13603753,MRED,11265998,N,Y,42.0199223,-87.7030784
MLS Listing,,Single Family Residential,1619 Lake St,Evanston,IL,60201,770000,3,3.5,Evanston,2101,5636,1991,2,366,,Active,,,http://www.redfin.com/IL/Evanston/1619-Lake-St-60201/home/13627943,MRED,11266231,N,Y,42.0445053,-87.6960525
